背景,発話キャラ,内容,キャラクター
EndingEB,0,オオカミは、倒れ込むハートの女王に大量の本がのった<br>荷馬車を見せに来ました。,00None
,1,さすがに適当に作った本では怪しまれますか ...... 。,01Normal
,6,<shake a=0.5><size=70>やはり紛い物だったか！</shake>,06Angry
,1,しかしながら、全く勝てないとは私も驚きです！,01Happy
,1,あなたには足りないようですね。,01Normal
,1,ポーカーフェイスと ............ ひとつまみの<incr a=0.8><size=70>嘘</size></incr>が。,01Smile
,0,そう言うと、オオカミの服の間から大量のトランプが<br>溢れ出してきました。,00None
,6,<size=60>あまりに強すぎると思ったが、全部<incr a=0.8>イカサマ</incr>か！！,06Panic
,1,<bounce a=0.2>お買い上げありがとうございました。</bounce>,01Happy
,1,<pend a=0.5>では失礼！</pend>,01Smile
,0,オオカミは次のカモを探しに馬車に乗って旅立って行きましたとさ。,00None
