背景,発話キャラ,内容,キャラクター
EndingEC,1,落ち着かれましたか？,01Normal
,0,オオカミが疲れ切った天人に話しかけました。,00None
,1,<wave a=0.2>気を悪くさせてしまうと思い申し上げなかったの<br>ですが ...... 。</wave>,01Sad
,1,あなたが投資に使われた特殊なお金 ...... 。<br><pend a=0.5>月のお金には全然価値がなかったのです。</pend>,01Sad
,7,<shake a=0.3>......！</shake> 地上の価値 ...... 難解だ。,07Panic
,1,なので、今はたくさんの街の方々に投資にご協力いただくしかないのです。,01Sad
,1,宝石は今度お見せします。<br><pend a=0.5>まずは私に協力していただけないでしょうか？</pend>,01Smile
,7,協力しよう。,07Normal
,1,<bounce a=0.2>天人さんありがとうございます！！</bounce><br>さぁ、こちらのスーツにお着替えください。,01Smile
,0,天人をもうしばらく働かせ、オオカミは逃げたのでした。,00None
