背景,発話キャラ,内容,キャラクター
EndingED,8,はぁ …… はぁ …… 。これ以上追いかけるのは難しそうね。,08Panic
,8,オオカミさんが元気になれば良いのだけれど …… 。,08Sad
,0,魔女は息を切らしながらもオオカミのことを心配していました。,00None
,0,一方その頃、当のオオカミは馬車に乗ってひとりごちていました。,00None
,1,一方的な善意は害になりうるのですよ。,01Surprise
,1,はぁ …… さてさて今回の収穫はいかがでしょう,01Happy
,0,そう話すオオカミの手にはお菓子の魔女から盗み取った財布がありました。,00None
,1,は …...？飴玉？,01Panic
,0,なんと彼女の財布には、お金ではなく大量のお菓子が入っていたのです！,00None
,1,まさか私がスることを予想して？？<br>いいや、それはありえません。,01Panic
,1,私にしたように、いつでもお菓子を分け与えられるよう、<br>お菓子を持ち歩いているのか！,01Sad
,1,…… 全く。怖いお方だ。,01Surprise
,0,オオカミは気味が悪いモノでも見るような顔をして去って行きました。,00None
