背景,発話キャラ,内容,キャラクター
EndingFC,0,アリスは、力を使い果たした天人をドレスアップして<br>いました。,00None
,2,<pend a=0.5>ふふ ...... 予想よりもかわいらしいわね。</pend>,02Happy
,7,...... 殺さないのか？,07Surprise
,2,ひさしぶりのオモチャだもの。ブ礼は許してあげる。<br><incr a=0.8>コウエイに思いなさい！</incr>,02Normal
,2,<size=40>...... はい、できた。</size><br><incr a=0.8>天人姫、女王にアイサツしなさい！！</incr>,02Happy
,7,待て ...... 当機は姫ではない。護衛兵だ。,07Panic
,2,<bounce a=0.2>そうなの？</bounce> なら次はトランプ兵の服を着せてあげる。,02Normal
,2,<size=40>それと ...... <size=50>お前ポーカーはできる？ <size=60>チェスは？,02Happy
,7,心得ている。,07Sad
,7,<pend a=0.5>...... しかし人間が当機に勝てるのか？</pend>,07Smile
,2,お前こそガッカリさせないでね。,02Spoony
,0,アリスはいつもより何だか楽しそうなのでした。,00None
