背景,発話キャラ,内容,キャラクター
EndingGA,0,どうにか赤ずきんを撃退した御門の元へ、かぐや姫が駆けつけてきました。,00None
,11,大きな音がしましたが ...... 。,11Surprise
,3,か、かぐや ......！,03Surprise
,11,...... あら？ 何か落ちていますよ。,11Panic
,3,ん？,03Sad
,0,御門が足元を見ると、そこには赤ずきんの本が落ちていました。,00None
,3,これは異国の文字だろうか？<br>何と書いてあるか全くわからないぞ ......？,03Sad
,11,私にお見せになってください。翻訳いたします。,11Angry
,0,御門から本を受け取ると、かぐや姫は不思議な力で本を読み始めました。,00None
,11,『君が笑うと僕の世界は明るくなるんだ！』,11Normal
,11,『隔てる壁を越え、2人の距離が縮まっていく ...... 』,11Smile
,3,こ、ここからどうなるのだ ......！？,03Happy
,11,ふふ ...... 。不思議な気持ちになりますね。,11Sad
,0,2人が話す様子を、屋根の上に座って赤ずきんが見ていました。,00None
,5,読み途中の小説が ...... 。,05Smile
,5,...... 拾われたなら仕方がないな。,05Happy
,0,赤ずきんは静かに去って行きました。,00None
