背景,発話キャラ,内容,キャラクター
EndingGB,0,どうにかハートの女王を撃退した御門の元へ、かぐや姫が<br>駆けつけてきました。,00None
,11,大きな音がしましたが ...... 。,11Surprise
,3,<shake a=0.5>かぐや ......！</shake>,03Surprise
,3,し、心配無用だ！ <size=45>夜更けにすまぬ ...... <size=40>え、えっと ...... 。,03Happy
,0,”<bounce a=0.2>ピチャンッ！</bounce>”,00None
,0,かぐや姫の突然の来訪に御門が慌てていると、何か液体の音がした後に、庭に大きなカエルが現れました。,00None
,3,<size=70>うわっ！ </size>なんだこの蛙は！！,03Sad
,11,珍しい蛙ですね！ <incr a=0.8>ぜひ観察したいです ...... 。</incr>,11Spoony
,3,そ、それは真か？,03Sad
,3,<size=70>心得た。余に任せろ ......！ <br><incr a=0.8>すぐ捕まえてやる！</incr>,03Angry
,11,さすがはお上です！,11Happy
,0,そんな2人の様子を屋根の上からハートの女王が眺めて<br>いました。,00None
,0,実は、かぐや姫を前に慌てる御門を見るに見かねて、<br>ハートの女王がカエルを巨大化させたのでした。,00None
,6,何だ、漢気はあるんだな。,06Smile
,6,<incr a=0.8><size=70>せいぜい頑張りな！</incr>,06Happy
,0,そう言って女王は去って行きました。,00None
