背景,発話キャラ,内容,キャラクター
EndingGD,11,大事ありませんか？,11Surprise
,0,どうにかお菓子の魔女を追い返すことに成功した御門の元へ、かぐや姫が駆けつけてきました。,00None
,8,<wave a=0.4>あら〜</wave>あれが想いを寄せている子ね。,08Smile
,0,そんな2人の様子を、空からこっそりお菓子の魔女が眺めて<br>いました。,00None
,8,<incr a=0.8>そうだわ！</incr> これをプレゼントしましょう。,08Normal
,0,”<bounce a=0.2>ポンッ！</bounce>”,00None
,0,そう言って魔女がお菓子の杖を振ると、御門とかぐや姫の側にケーキが現れました。,00None
,11,これは何でしょう ......？ 砂糖菓子でしょうか？,11Panic
,3,何であろうな ...... ちょっと一口 ...... 。,03Sad
,0,甘い匂いに釣られたのか、御門はケーキを口にしました。,00None
,3,<wiggle a=0.1><size=70>んん！ この砂糖菓子うまいぞ！！</wiggle>,03Happy
,3,<wiggle a=0.1><size=70>かぐやも食べてみよ！</wiggle>,03Happy
,0,初めて食べるケーキに興奮しているのか、御門は頬に<br>クリームが付いていることに気が付きません。,00None
,11,もう ...... 頬についていますよ？,11Sad
,0,かぐや姫はそう言って、御門の頬についたクリームをとって<br>あげました。,00None
,3,<shake a=0.5><size=60>ッッッ！！！！</shake> <size=40>あ、ありがとう ...... 。,03Spoony
,8,<wave a=0.4>キャ〜！ 眼福だわ〜！！</wave>,08Spoony
,8,<wave a=0.4><size=60>坊や、頑張ってね〜！！</wave>,08Happy
,0,そう言って、魔女は飛んで行きました。,00None
