背景,発話キャラ,内容,キャラクター
EndingHA,5,<shake a=0.5>くっ ...... 立ち上がれない ...... 。</shake>,05Sad
,0,返り討ちにされ、赤ずきんはぐったりと倒れ込みました。,00None
,0,グレーテルはそんな赤ずきんの側に近づくと、<br>ニヤニヤしながらポケットクレヨンを取り出しました。,00None
,5,...... おい。何をやってる？,05Angry
,9,<pend a=0.5><size=45>あの ...... おこりませんか？</pend>,09Angry
,5,無理だろうな。,05Smile
,9,ひ、ヒゲを ...... <size=70>かいてます。,09Angry
,10,<bounce a=0.2>あはは！ ネコちゃんみた〜い！</bounce>,10Happy
,5,<incr a=0.8>やめろ！！</incr>,05Smile
,10,<wave a=0.4>や〜だねぇ〜。</wave>,10Spoony
,5,...... 。,05Normal
,5,<size=40>...... はぁ。まぁいいか。,05Happy
,0,どうやら赤ずきんは流れに身を任せることにしたようです。,00None
,0,その表情は普段より和らいでいたということです。,00None
