背景,発話キャラ,内容,キャラクター
EndingHB,9,か、固まってる …… 。,09Angry
,0,お菓子まみれになり、ハートの女王は立ったままカチンコチンになってしまいました。,00None
,10,コキューできてるのかなぁ？,10Normal
,6,ぉぃ！,06Normal
,9,あれ？何か聞こえるような ……？,09Angry
,6,おい！！,06Normal
,10,すごい！！ しゃべってるよ、おにぃ！！,10Happy
,6,…… いきなり怒って悪かったな。,06Normal
,4,え！？,04Normal
,6,ちょっと焦ってたんだ。<br>大切なやつがいてな …… 。,06Surprise
,9,その気持ち、少しわかるような気がします。,09Normal
,9,ぼくもグレーテルとはなればなれになったら気が気じゃないだろうな …...。,09Angry
,6,ははは！ そうかそうか！,06Smile
,6,…… なら、早くこの菓子をどけろ！！！,06Angry
,9,うわぁ！！まだおこってた！！,09Surprise
,0,ハートの女王がキレイになったのは、これより2時間後だったということです。,00None
