背景,発話キャラ,内容,キャラクター
EndingHC,10,<wave a=0.4>じかんぎれ〜〜〜！！！</wave> ロボットさんのまけ！！,10Spoony
,9,<wiggle a=0.1>だ、だいじょうぶですか ......？</wiggle>,09Angry
,10,じゃあバツゲームね！<br>グレーテルのいうことをなんでもきくこと！！,10Normal
,10,まずは ...... <incr a=0.8><size=70>そうだ！ おりょうりして！</incr>,10Happy
,7,当機に料理機能はない。,07Surprise
,10,<wiggle a=0.1>え！ おりょうりできないの！？</wiggle>,10Surprise
,9,それならぼくが教えるよ。,09Normal
,0,そんなこんなで、天人は2人から料理を習うことになり<br>ました。,00None
,7,...... この汁物には、次に何を入れればいい？,07Normal
,10,シチューにつぎは<pend a=0.5><size=60>チョコレート</size>を入れるんだよ〜。</pend>,10Normal
,9,<wiggle a=0.1><size=60>グ、グレーテル！ 変なこと教えちゃダメだって！</wiggle>,09Surprise
,0,この後も、ヘンゼルとグレーテルはいろいろなことを天人に<br>教えてあげましたとさ。,00None
