背景,発話キャラ,内容,キャラクター
EndingAH,10,<wave a=0.5>う、うえぇぇぇ。</wave>,10Sad
,9,<shake a=0.5>す、すみませんでしたぁぁ。</shake>,09Surprise
,0,長い抵抗の末、ヘンゼルとグレーテルは床に倒れ込んでしまいました。,00None
,5,...... おい。そんな所で寝てたら体を痛めるぞ。,05Normal
,10,<wave a=0.5>もう立てないの〜！</wave>,10Sad
,5,...... はぁ。,05Spoony
,9,<bounce a=0.2>ふぇ！</bounce>,09Sad
,0,赤ずきんはぐったりした2人の頭を膝の上にのせました。,00None
,5,もうするなよ。,05Smile
,10,<pend a=0.5>ふぁぁい ...... 。</pend>,10Smile
,9,<size=40>すぴー ...... 。,09Spoony
,5,ふっ ...... もう寝たか。,05Happy
,0,ヘンゼルとグレーテルは赤ずきんの膝の上でぐっすり眠って<br>しまいました。,00None
,0,その顔はとても幸せそうでした。,00None
