背景,発話キャラ,内容,キャラクター
EndingBE,1,<bounce a=0.3>あいたっ！！</bounce>,01Panic
,6,<incr a=0.8><size=70>ただで済むと思うなよ！！</incr>,06Angry
,0,捕えられたオオカミは、女王に蹴飛ばされています。,00None
,1,お、お強いんですねぇ。,01Panic
,1,トランプゲームまで強くなる必要なんてないのでは？,01Sad
,6,トランプゲームが強くて、しかも好きなやつがいるんだよ。,06Surprise
,6,<incr a=0.8>そいつの相手をしてやりたいんだ。</incr>,06Smile
,1,でしたら、私がお教えしましょうか？,01Surprise
,6,タダだろうな？,06Sad
,1,<pend a=0.5>もちろんですとも！</pend>,01Happy
,6,じゃあ教えてくれ。,06Normal
,1,<pend a=0.5>それでは今回の件は水に流していただけるという<br>ことで ...... 。</pend>,01Happy
,6,<size=70>それとこれは別だ！,06Panic
,1,<shake a=0.5>えぇ！</shake>,01Panic
,0,オオカミが許されるにはもう少し時間がかかりそうです。,00None
