背景,発話キャラ,内容,キャラクター
0,0,「はぁ …… 。はぁ …… 」,00None
,0,アリスがうめきます。,00None
,0,「うぐっ。まだ …… 」,00None
1,0,「まだ！」,00None
2,0,ハートの女王はアリスを静かに見つめています。,00None
3,0,「アタシは負けてない！！！」,00None
4,0,「いいや、チェックメイトだ」,00None
,0,ハートの女王はアリスに剣を向けました。,00None
,0,「どうして！ どうして？！ どうして …… 」,00None
,0,「 …… アンタに勝てないの？」,00None
,0,アリスは取り乱します。,00None
5,0,「分かりきったことさ」,00None
,0,「アリス、貴様が私に助けを求めていたからだ」,00None
6,0,「え …...？」,00None
,0,「そして、私はアリスを助けたい」,00None
,0,「なんで …...？」,00None
7,0,ハートの女王がアリスの疑問に笑って答えます。,00None
,0,「理由がないと助けちゃダメなのか？」,00None
,0,「 …...！別に …… 」,00None
8,0,「ところで、帽子屋がティーパーティをやるってさ。<br>アリスも来るか？」,00None
,0,ハートの女王がそう言ってアリスに手を差し伸べました。,00None
,0,「いや、アタシは …… 」,00None
,0,「私は、アリスと一緒に行きたい」,00None
,0,アリスの否定の言葉を遮るように、ハートの女王は力強く告げます。,00None
9,0,「行く」,00None
,0,アリスはハートの女王の手を取りました。,00None
10,0,「 …...ス。アリス」,00None
10,0,「アリス」,00None
11,0,「起きたのね。いい夢は見れた？」,00None
12,0,「うん」,00None
,0,アリスは目をこすりながらそう呟きました。,00None
