背景,発話キャラ,内容,キャラクター
EndingBH,6,こらっ！！,06Angry
,0,”ゴツンッ！”,00None
,10,うにゃっ！,10Sad
,9,いてっ！,09Sad
,4,ごめんなさ〜い！！,04Sad
,6,たく ...... 貴様ら、兄妹か？,06Sad
,10,？ うん！ そうだよ！,10Normal
,6,そうか ...... じゃあ、責任は兄貴にとってもらおう。,06Normal
,10,え ...... ？ お、おにぃは悪くないよ！<br>悪いのはグレーテルだもん ...... 。,10Surprise
,9,いいんだ、グレーテル。<br>お姉さん、責任を取るためにぼくは何をすれば良いですか？,09Normal
,6,............ はぁ。今日のところは許してやる。,06Surprise
,6,嬢ちゃんは兄貴の言うことをたまには聞いてやりな。,06Smile
,10,うん！ わかった！,10Normal
,9,ホントかなぁ ...... 。,09Angry
,0,2人の仲良い様子を見て、ハートの女王はチョコまみれになったことはどうでもよくなったようです。,00None
,0,少し複雑な表情を浮かべた後、不思議の国に帰って行きました。,00None
