背景,発話キャラ,内容,キャラクター
EndingCE,7,<shake a=0.2>待て ......！！</shake>,07Angry
,0,天人はオオカミに追いつき、武器で手元を攻撃しました。,00None
,1,！ しまった、<size=60>お金</size>が ......！！,01Panic
,7,<shake a=0.5>次は首を狙う ...... 。</shake>,07Surprise
,0,天人が少し震えているのを見逃すオオカミではありません<br>でした。,00None
,0,天人の下からするりと抜け出すと、走っている馬車に飛び乗りました。,00None
,1,今回は私の負けですが ...... 脇が甘かったですね！,01Surprise
,1,<pend a=0.5>またお会いしましょう！</pend>,01Happy
,0,そう言うと馬車は遠ざかって行きました。,00None
,7,<shake a=0.2>もう ...... だまされない。</shake>,07Sad
,0,こうして、天人は<size=60>「疑う気持ちをもつこと」</size>を覚えたのでした。,00None
