背景,発話キャラ,内容,キャラクター
EndingCH,4,<wave a=0.5>つ、つかまったぁ〜〜！</wave>,04Panic
,10,すっごぉい！！ ロボットさんはなんでもこわせるんだね！,10Happy
,9,<shake a=0.5>このヒト、こわすぎるよぉ！！</shake>,09Sad
,10,<pend a=0.5>ねぇねぇ、バツゲームはなににする〜？</pend>,10Normal
,7,...... では、隠れた当機を見つけてもらおう。,07Normal
,10,わかった！ 10びょうかぞえるね！,10Normal
,7,...... <size=60>その必要はない。,07Sad
,0,グレーテルが目を隠そうとした瞬間、天人は2人の前から姿を消してしまいました。,00None
,10,<bounce a=0.2><size=70>え！</size></bounce> <incr>どこ！？</incr> <wiggle a=0.3><size=60>どこいったの！？</size></wiggle>,10Surprise
,9,お、音も聞こえなかったね ...... 。,09Normal
,7,...... <bounce a=0.2>フッ</bounce>。,07Smile
,0,驚く2人の頭上でかすかな笑い声がしました。,00None
,0,なんと、天人は瞬時に天井に張り付き、2人の前から姿を<br>消したように見せていたのです。,00None
,0,こうして、天人は<size=60>「いたずら心」</size=60>を覚えたのでした。,00None
