背景,発話キャラ,内容,キャラクター
EndingDF,0,魔女はアリスに追いつき、どういうことだかケーキ作りを<br>教えていました。,00None
,8,<wave a=0.5>ほぉら、クリームはこうやって絞るのよ〜。</wave>,08Smile
,2,こ ...... こうで合ってる？,02Normal
,8,そうそう！ <bounce a=0.2>よくできました！</bounce>,08Happy
,2,<size=70>ちょっと！ 子供扱いしないで！！,02Panic
,2,<shake a=0.2>...... ねぇ、帰るんじゃなかったの？</shake>,02Normal
,8,ちょっとお菓子食べたいな〜って思って。,08Normal
,2,<shake a=0.2>ケーキならいくらでもあるのに ...... 。</shake>,02Normal
,8,一緒に作って食べた方が楽しいでしょ？,08Spoony
,2,<size=40>...... まぁ、そうかもね。,02Happy
,0,少し素直になったアリスを見て、お菓子の魔女は笑みを<br>浮かべました。,00None
