背景,発話キャラ,内容,キャラクター
EndingDG,8,<wave a=0.4>あらあら〜〜 好きな子に告白するのね〜！</wave>,08Spoony
,0,戦いが終わり落ち着いた御門に、お菓子の魔女はアドバイスを始めました。,00None
,3,このような気持ちになったのは初めて故、<br>どうすれば良いのか ...... 。,03Spoony
,8,<size=65>それなら任せて！ </size>恋愛のことはいろいろ知ってるわ。,08Normal
,8,ガラスの靴をプレゼントしたり、城にさらわれたところを<br>助けに行ったり ...... 。,08Smile
,3,うむ ...... 参考になるな。,03Normal
,0,残念ながら、魔女はおとぎ話から恋愛知識を仕入れているようでした。,00None
,8,でも、やっぱり思い切って<incr a=0.8><size=60>キス</size></incr>するのが一番だわ！,08Happy
,3,<pend a=0.5>きす ......？</pend>,03Sad
,8,<size=70>運命の相手と<incr a=0.8>接吻</incr>することよ ......！,08Spoony
,3,<shake a=0.5>ッッッ！！！！</shake>,03Surprise
,3,<shake a=0.5><size=40>そ、<size=70>そ、<size=60>そそそそれは急すぎるのでは<br>ないか ......？？</shake>,03Panic
,8,<wave a=0.4>憧れちゃうわ〜〜。</wave>,08Smile
,0,お菓子の魔女のアドバイスは夜通し続きましたとさ。,00None
