コマ絵,キャラ名(数字),内容,表情(数字は00とか)
0,0,コーヒーの香る静かなカフェ。,00None
,0,赤いフードの少女がコーヒーを飲みながら読書をしていました。,00None
1,0,「どうも、お嬢さん。相席してもよろしいですか？」,00None
,0,緑のマントの男が、少女にいきなり話しかけてきました。,00None
2,0,「座ってもいいが質問に答えろ」,00None
,0,「<incr a=1>イヌホオズキの花言葉</incr>を知っているか？」,00None
3,0,<fade d=1>「知らないですね ...... 」</fade>,00None
,0,「それよりも、この街に有名な詐欺師が現れたというウワサを<br>ご存知ですか？」,00None
4,0,「実は、私はその詐欺師を探していまして、あの後ろの席の男が<br>怪しいと思って ...... 」,00None
5,0,”<shake>バン！</shake>”,00None
6,0,少女は突如立ち上がり、青年に銃を向けました。,00None
,0,「イヌホオズキの花言葉は<incr a=1>嘘つき</incr>だ」,00None
7,0,「 ...... おばあちゃんがよく言っていた」,00None
8,0,「<shake>『ウソつきは殺せ』</shake>と」,00None
9,0,少女はすぐさま銃を撃ちましたが、男は仲間や椅子で弾をいなし、<br>入り口へ走り抜けました。,00None
10,0,「 ...... 運のいい奴だ」,00None
11,0,<shake>「......狩りを始める。」</shake>,00None
