コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningAF0,5,あいつがこの世界の支配者 …… 。,05Sad
,5,一発で仕留める。,05Surprise
,0,ある日、赤ずきんは不思議の国に迷い込んでしまいました。,00None
,0,不思議の国から出られるという鏡を奪うために、アリスの城へ来たようです。,00None
,0,”バァンッ！！”,00None
,0,赤ずきんはアリス目掛けて容赦無く発砲しますが、アリスの体は水面のように歪み、弾丸は後ろの椅子に当たります。,00None
,2,ティータイムに発砲だなんて …… 一体何ごと？,02Smile
,5,弾がすり抜けた ……？,05Smile
,5,もう一発 …...！！,05Panic
,0,”バン！！ ...... バン！ バン！！”,00None
OpeningAF1,2,お前 …...<br>いい加減にしなさい！ せっかくのお茶会が台無しよ！！,02Panic
,0,赤ずきんが何度も発砲したせいで、テーブルの上はぐちゃぐちゃになってしまいました。,00None
,5,１人でお茶会か …… 。,05Smile
,2,何ですって？！,02Panic
,5,鏡を渡してさえくれればすぐに去ろう。,05Normal
,2,渡すわけないでしょ！,02Panic
,2,この世界から一歩たりとも出さないわ！！,02Panic
