コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningAG0,0,ある晩、赤ずきんは見知らぬ屋敷に迷い込んでしまいました。,00None
,0,出口を探していると、屋敷の主人が何やら1人で喋っている<br>のを見つけます。,00None
,3,<incr><size=70>かぐや！</incr>,03Panic
,3,そなたはこの花のように可憐で、この花のように<br>美しい ...... 。,03Sad
,3,この花と共に余の心を受け取ってはくれぬか ......？,03Spoony
,5,なんだかな ...... 。,05Smile
,3,え ......？,03Surprise
OpeningAG1,0,御門が振り返ると、そこには見知らぬ少女がいました。,00None
,3,<shake a=0.5>り、立派な花だと思うが ...... 。</shake>,03Surprise
,5,”かぐや”は花と比較できる人物なのか？,05Smile
,3,<shake a=0.5>は ......？！</shake>,03Angry
,0,知らない人に告白の練習を見られていたことを知り、御門は<br>パニック状態です。,00None
,3,<shake a=0.5>侵入者だ！！ 急ぎ捕まえよ！！！</shake><size=70>,03Panic
,5,...... 厄介な男だな。,05Panic
