コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningAH0,0,ある日、赤ずきんは賞金首を狙って工場の立ち並ぶ街まで来ていました。,00None
,0,標的に狙いを定め、銃を構えます。,00None
,5,今だ …...！,05Panic
,0,"""ポン！""",00None
,5,何…...？ キャンディ？？,05Smile
,10,じゃじゃーん！ びっくりしたぁ？,10Happy
,9,ごめんなさぁぁぁい！,09Surprise
,5,…… 子供？,05Normal
,10,ジュウダン？をカイゾウしてみたんだぁ！,10Normal
,10,なづけて、キャンディだん！！,10Smile
OpeningAH1,5,…… 。,05Smile
,5,そうか …… お前たち２人がこれを…… 。,05Angry
,9,や、やっぱりまずいよ、グレーテル ……！,09Surprise
,0,”カチャカチャカチャ …… バァンッ！！”,00None
,10,え …...？,10Surprise
,0,赤ずきんは素早く新たな銃弾を装填し、２人に銃を発砲して言いました。,00None
,5,それだけ遊びたいならいいだろう …… 。,05Sad
,5,本気で遊んであげる。,05Panic
,9,ひぃぃ！！,09Sad
,10,お、おにぃ、早く逃げよ！,10Sad
