コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningBE0,1,ははは …… 弱いですねぇ、お客様。,01Happy
,6,また負けただと？！,06Panic
,0,ある日、ハートの女王はオオカミにポーカーの対戦を申し込まれました。,00None
,0,嬉々として申し出を受けますが、オオカミに惨敗してしまったようです。,00None
,1,そんなあなたにオススメの本があります！,01Happy
,1,トランプゲームの必勝法が詰め込まれた<br>…… こちらの本です！,01Smile
,6,買った！,06Angry
OpeningBE1,0,本を読んで何度も対戦に挑みますが、ハートの女王はいっこうに勝てません。,00None
,6,なぜだ …… 。,06Sad
,0,不審に思ったハートの女王は、オオカミに怒鳴ります。,00None
,6,おいオオカミ！ この本全然勝てないぞ！！,06Panic
,1,おっと …… 落ち着いてください。,01Surprise
,1,表情が顔に出やすいのがいけないのでは？<br>……...... では失礼！,01Normal
,6,おい待て！ 処刑してやる！,06Angry
