コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningBG0,0,ある晩、ハートの女王は見知らぬ屋敷に迷い込んでしまいました。,00None
,0,出口を探していると、屋敷の主人が何やら１人で喋っているのを見つけます。,00None
,3,か、かぐや…...姫！,03Sad
,3,す、すすす好きだ！ 余とけ、けっ …...！！,03Spoony
,6,…… 。,06Sad
,3,ダメだ …… 。<br>何を言ってもかぐやが振り向いてくれると思えぬ …… 。,03Spoony
,6,はっはっは！！,06Spoony
,6,貴様ずいぶん腑抜けているな！！,06Smile
,3,は…...！？,03Happy
OpeningBG1,0,御門が驚いて振り向くと、見知らぬ人が笑いながら立っているではありませんか！,00None
,6,ウジウジしてると、惚れた相手も逃げてしまうぞ。,06Surprise
,6,もっと堂々と！ 自信を持ちな！,06Angry
,3,……！？？？？,03Surprise
,0,知らない人に告白の練習を見られていたことを知り、御門はパニック状態です。,00None
,3,し、侵入者だ！！ 急ぎ捕まえよ！！！,03Panic
,6,おやおや、落ち着きも足りないようだな。,06Surprise
