コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningBH0,6,ここはどこだっ！ 早く帰らねぇと！,06Angry
,6,アリスに何が起こるか分からねぇぞ！,06Panic
,0,ある日、知らない街に迷い込んでしまったハートの女王。,00None
,0,不思議の国に帰ろうと街中を奔走しています。,00None
,10,おにぃ！ <bounce a=0.2>このキカイすっごいよ！</bounce>,10Normal
,9,グレーテル！ あんまりいじっちゃまずいよ！,09Angry
,10,ほら見てて！ <wave a=0.5><size=70>チョコレートほー！！！</wave>,10Happy
,0,グレーテルがそう叫ぶと、機械砲台からチョコレートの<br>かたまりが飛び出しました。,00None
,9,ああっ！ おねえさん<incr>危ない！！</incr>,09Surprise
,0,”<wiggle a=0.4>ベチャ！</wiggle>”,00None
OpeningBH1,0,ハートの女王はチョコまみれになってしまいました。,00None
,6,き、貴様ら ...... 急いでるってのに ......！,06Panic
,9,<shake>お、おねえさん、ごめんなさ ...... 。</shake>,09Sad
,6,<incr><size=70>首を刎ねてやる！！</incr>,06Angry
,9,<shake>うわぁ！ この人<size=70>危ない人<size=50>だ！</shake>,09Surprise
,10,<dangle a=0.5>あはは！ おにごっこだぁ〜！</dangle>,10Happy
,9,<wave a=0.5>笑ってる場合じゃないよぉ〜！</wave>,09Surprise
