コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningCE0,7,…… ワタシたちとともに宝石採掘の投資を。,07Normal
,7,宝石が取れれば、お金は倍になって返ってくる。,07Smile
,0,ある日地上に降りてきた天人は、オオカミに投資の話を持ちかけられ、詐欺とは気づかずお金を渡してしまったようです。,00None
,0,今は同じ投資の勧誘のために町の住人に声をかけているようです。,00None
,1,いい（カモ）ですねぇ …… 。本当に素直だ。,01Smile
,0,オオカミが喜んでいると、天人が話しかけていた住人の1人があることを指摘しました。,00None
,12,うーむ …...。<br>宝石採掘の投資にしては高すぎはしないかい？,12None
,12,あんた、採掘できる宝石の価値は知っているのかね。,12None
,7,…...！,07Panic
OpeningCE1,0,天人は、高度な計算の末にある１つの答えを導き出しました。,00None
,7,この話、全て嘘か …...？,07Panic
,1,おっと！！,01Surprise
,7,当機の資金返してもらおう …… 。,07Angry
,1,ここはひとまず逃げることにしましょうか。,01Happy
