コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningCF0,7,...... 城の主人を入り口に確認。 ...... <size=70>攻撃開始！！,07Angry
,0,ある日、天人は不思議の国に迷い込んでしまいました。,00None
,0,不思議の国から出られる鏡があると聞き、アリスの城へ潜入<br>したようです。,00None
,2,誰かしら？ 突然こんなことをする人は？,02Smile
,7,......！！ <shake a=0.5>武器を避けた ......？</shake>,07Surprise
,0,天人が投げた武器を、アリスは体を半分に割って軽々と避けてみせました。,00None
OpeningCF1,0,天人はその不可思議な避け方に驚き、アリスに生態スキャンを実行しました。,00None
,7,あの女王の正体は ...... 。,07Normal
,7,<shake a=0.8><size=70>不明</size> ......！ データベースにも該当なし ......！！</shake>,07Panic
,2,<incr a=0.8>さっきからごちゃごちゃうるさいわね ...... 。</incr>,02Panic
,7,...... 敵意を察知。早急に対処する。,07Angry
