コマ絵,キャラ名(数字),内容,表情(数字は00とか)
0,0,「今夜はいつもより元気がないですね」,00None
,0,「どうかなさったのですか？」,00None
1,0,「 ...... かぐや」,00None
,0,「そなたに伝えねばならぬことがある」,00None
2,0,<shake a=1>「かぐや ......！！ 余は、そなたのことが ......！」</shake>,00None
3,0,「 ...... 待て。人間」,00None
,0,「 ......！！」,00None
4,0,「 ...... かぐや姫は月になくてはならぬ存在」,00None
,0,「 ...... 返してもらう」,00None
,0,「天人 ......！？ 何故？ 月は私を追放したじゃない」,00None
,0,「刑期は終わった。 ...... 姫。月へ帰 ...... 」,00None
5,0,「 ......！！」,00None
6,0,<incr>「かぐやの意思も聞かぬとは！！」</incr>,00None
7,0,「 ...... 当機は任務を遂行するまで」,00None
8,0,<incr>「そのような身勝手でかぐやを渡すわけには行かぬ！」</incr>,00None
