コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningDE0,1,どうか ...... どうか寄付を ...... 。,01Sad
,0,ある日、お菓子の魔女が歩いていると、寄付を請うオオカミに出会いました。,00None
,8,どうされたんですか ......？,08Surprise
,1,事故で怪我をしてしまったのですが、貧しくて治療費が足りないのです ...... 。,01Sad
,1,もっとお金があれば ...... あッ！！ 貧血で目眩がぁっ！！,01Surprise
,8,そんな！ 可哀想に ...... 。,08Sad
,8,あっ！ そうだわ！,08Normal
OpeningDE1,8,チョコレートをどうぞ！ 貧血にいいですよ〜。,08Happy
,0,お菓子の魔女が善意でチョコレートを差し出しました。,00None
,0,しかし、イヌ科であるオオカミにとってチョコレートは毒です。,00None
,1,いえ、結構です。そんなことよりお金が ...... 。,01Surprise
,8,そんなこと言ってたら倒れちゃいますよ！,08Angry
,1,お気持ちだけいただきます！,01Panic
,0,そう言ってオオカミは逃げ出しました。,00None
,8,走ったら体に良くないですよ〜！ 待ってくださ〜い！,08Surprise
