コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningDF0,0,ある日、お菓子の魔女は不思議の国に迷い込んでしまい<br>ました。,00None
,0,不思議の国から出られるという鏡を借りるために、アリスに<br>会いに来たようです。,00None
,8,どうか ...... あなたの鏡を貸していただけませんか？,08Sad
,2,鏡？,02Smile
,2,<incr>わたしの世界から逃げたいってこと？</incr>,02Panic
,8,<shake a=0.5>えぇっ！</shake> いえっ、決してそういうことじゃないわ。,08Surprise
,8,<pend a=0.5>家の鍵を閉め忘れて出てきちゃって ...... 。</pend>,08Panic
OpeningDF1,2,<incr>ふっ ...... 。</incr>,02Happy
,2,なら、お遊びで決めましょう。,02Normal
,8,お遊び？,08Surprise
,0,魔女が疑問を呈すと、アリスは杖に乗って言いました。,00None
,2,わたしを<incr><size=60>捕まえられたら</size></incr>、あなたが元々いた世界に返してあげる！,02Happy
,0,そう言ってアリスはどこかへ飛んで行ってしまいました。,00None
,8,えっ！ どこへ行くの？,08Panic
,8,<wave a=0.5>待ってよ〜！</wave>,08Surprise
