コマ絵,キャラ名(数字),内容,表情(数字は00とか)
0,0,工場の立ち並ぶ街は、煙と油の臭いが充満していました。,00None
,0,そんな街の一角にある魔女の家で何やら争う声が聞こえてきます。,00None
1,0,<wave>「私の家を返しなさーい！」</wave>,00None
,0,「やだね！ この家はグレーテルたちのだもん！」,00None
,0,「グレーテル、早くあの人に家を返してあげようよぉ。」,00None
2,0,<wave>「とにかく屋根の上は危ないから降りなさーい！」</wave>,00None
,0,「降りたらお菓子と紅茶を出してあげるから！ ね？」,00None
3,0,「おかし？！ グレーテル！ 早く返そうよ！」,00None
,0,「そもそもこの家を手に入れたら<rainb>食べ放題</rainb>でしょ、おにぃ！」,00None
,0,「<rot>た、確かに？！？！</rot>」,00None
4,0,「おばさん！ ここはもうグレーテルたちの家だから！<br><shake>どっか行ってよ！</shake>」,00None
5,0,「お、おば ......？！ も〜 ...... 」,00None
6,0,「こうなったら私も本気出しちゃうんだから！」,00None
7,0,「ふん。実力を見せてあげよ！行くよ、おにぃ！」,00None
,0,<wiggle>「ふ、ふえぇぇぇぇ！」</wiggle>,00None
